dealer_id,part_type,MAE,RMSE,R2,IAE,SUM_DEMAND
D00,type0,0.10502732465778641,0.2553387925942609,-0.00022916798026484386,0.8314626172947609,21
D00,type1,0.09455942818523265,0.23894422482039274,-0.008003417646014643,0.8286315977142056,22
D00,type2,0.6753611343330237,0.830732940712169,-0.0108501712133251,0.6891784179082834,294
D00,type3,0.7090584362166861,0.8754778220683765,-0.23586152051434506,0.7192384126026644,261
D00,type4,0.09659233340312418,0.21811759839087244,-0.0038355360011737005,0.8501621017960271,16
D01,type0,0.1390822040908852,0.29431460924522584,-0.0026146490609053608,0.8359883198143816,30
D01,type1,0.12127890377947276,0.278035260269195,-0.002411222803480939,0.8331275538137605,26
D01,type2,0.05632627445775357,0.12955146042312465,-0.038065257708759015,0.8965269641067936,6
D01,type3,0.5740954932550468,0.6239357729902368,-0.05487408897682844,0.6555295752882768,152
D01,type4,0.41189334136678685,0.5204172057750905,-0.0010506247417920722,0.9087874105142856,96
D01,type5,0.09767629739319812,0.22767501107109012,-0.0008462606532306793,0.834770464881714,20
