dealer_id,part_type,MAE,RMSE,R2,IAE,SUM_DEMAND
D00,type0,0.14712792902730992,0.2590928369781136,-0.027178310610749268,0.8923353268998563,21
D00,type1,0.14852485416655423,0.2415694924064738,-0.027633264470087626,0.9185029915669752,22
D00,type2,0.6688723557433416,0.8264555283905699,-0.00348815742271813,0.6696719910861259,292
D00,type3,0.6416539755904019,0.8196070606518863,-0.08057677392793061,0.8711181434725581,260
D00,type4,0.1357046509608305,0.22507904824256286,-0.06612514883954046,0.9183078340116221,16
D01,type0,0.1668603974872104,0.294811770605296,-0.00346416047961684,0.8715185414623091,30
D01,type1,0.15804689966672736,0.279490886439142,-0.01034221561048354,0.8859674556363273,26
D01,type2,0.11308873814443715,0.15221794731349264,-0.4292237106425587,0.958178517670394,6
D01,type3,0.44332252867980004,0.6836316411929428,-0.26612345579236885,0.831021298195663,151
D01,type4,0.3170441037974765,0.5458028599364491,-0.09884909105412754,0.8285204648086533,96
D01,type5,0.14402667079803208,0.23229747926078223,-0.039210014814034855,0.9176392370839036,20
