,MAE,RMSE,R2,IAE,TotalCost,ISL,TotalStockouts,ImmediateFulfilled,BackorderFulfilled
MAE,1.0,0.9982137181373482,0.35397374189035,-0.6050083213614723,0.9735163168348105,-0.7920504962547888,0.9937585015523609,0.9988174766468658,0.9720123917165192
RMSE,0.9982137181373482,1.0,0.3854999433226868,-0.6104955562703339,0.9814730305292221,-0.8184458824153807,0.9913698430883089,0.9985456826425346,0.9749709534326542
R2,0.35397374189035,0.3854999433226868,1.0,-0.764925397225321,0.37329657037761105,-0.4323066623343653,0.3247243617033162,0.37141275059078177,0.3549638226556099
IAE,-0.6050083213614723,-0.6104955562703339,-0.764925397225321,1.0,-0.5668862772958484,0.4453441668987453,-0.5788776349857944,-0.6121457445205023,-0.5588852839399623
TotalCost,0.9735163168348105,0.9814730305292221,0.37329657037761105,-0.5668862772958484,1.0,-0.9024745244592997,0.9791256531536474,0.9755056818360041,0.9851225164511601
ISL,-0.7920504962547888,-0.8184458824153807,-0.4323066623343653,0.4453441668987453,-0.9024745244592997,1.0,-0.8232862490542615,-0.8070547826546052,-0.8891396330284904
TotalStockouts,0.9937585015523609,0.9913698430883089,0.3247243617033162,-0.5788776349857944,0.9791256531536474,-0.8232862490542615,1.0,0.9934459733794324,0.9895393002860725
ImmediateFulfilled,0.9988174766468658,0.9985456826425346,0.37141275059078177,-0.6121457445205023,0.9755056818360041,-0.8070547826546052,0.9934459733794324,1.0,0.9755218881255115
BackorderFulfilled,0.9720123917165192,0.9749709534326542,0.3549638226556099,-0.5588852839399623,0.9851225164511601,-0.8891396330284904,0.9895393002860725,0.9755218881255115,1.0
