dealer_id,part_type,MAE,RMSE,R2,IAE,SUM_DEMAND
D00,type0,0.2695187083489337,0.32303622789811687,-0.5967520719739234,0.8862229672599494,21
D00,type1,0.2622821218390884,0.297993602835133,-0.5637519431902607,0.842261623072569,22
D00,type2,0.7507118616874173,0.9880040064089306,-0.4341371457514227,0.8284272110860361,292
D00,type3,0.6741433454478383,0.9004474896420706,-0.30425055348718244,0.8289751692189551,260
D00,type4,0.26161336949142844,0.30502955274193005,-0.9580414618766073,0.8628158959263943,16
D01,type0,0.2816057761096356,0.340694414223533,-0.34011557369966683,0.9106092645793181,30
D01,type1,0.2737180618576888,0.3285305151001876,-0.39599745557808275,0.9046907637352782,26
D01,type2,0.24590256492084503,0.26911081437285206,-3.467152629014877,0.9999668737690448,6
D01,type3,0.47104216506895197,0.6249155894528263,-0.0579727006201507,0.8752442820969889,151
D01,type4,0.3969041662453404,0.535189526149061,-0.05652955506372148,0.8799660117513087,96
D01,type5,0.2683945982014297,0.30807898937286243,-0.8278413210273681,0.9055413067024932,20
