dealer_id,part_type,MAE,RMSE,R2,IAE,SUM_DEMAND
D00,type0,0.13142657279968262,0.2582188640420185,-0.020260334014892578,0.8672836999064814,21
D00,type1,0.1479637324810028,0.25661409609633323,-0.15961802005767822,0.8776256660770686,22
D00,type2,0.6605818271636963,0.7910539405867827,0.08064019680023193,0.7732822233917539,292
D00,type3,0.639904797077179,0.766766378580392,0.05426293611526489,0.7569974665288813,260
D00,type4,0.11982809007167816,0.2214792664761235,-0.032295823097229004,0.896434231840192,16
D01,type0,0.14561215043067932,0.29274798658624945,0.010535717010498047,0.8465694382375447,30
D01,type1,0.13924799859523773,0.2786068428544471,-0.003960847854614258,0.8618903926087709,26
D01,type2,0.19574344158172607,0.3090360224561006,-4.890970230102539,0.9998035622109479,6
D01,type3,0.5022098422050476,0.5875254919730594,0.06484150886535645,0.7913683908016125,151
D01,type4,0.41773107647895813,0.5225116170385706,-0.007066965103149414,0.9070112544511905,96
D01,type5,0.11693937331438065,0.2285532146087583,-0.005979180335998535,0.8597022179264289,20
