date,actual,forecast
2027-01-02,0,0.10214126
2027-01-03,0,0.086865775
2027-01-04,0,0.086865775
2027-01-05,0,0.086865775
2027-01-06,0,0.086865775
2027-01-07,0,0.086865775
2027-01-08,0,0.086865775
2027-01-09,1,0.08816684
2027-01-10,0,0.08348892
2027-01-11,0,0.08348892
2027-01-12,0,0.07676362
2027-01-13,0,0.08816684
2027-01-14,0,0.08816684
2027-01-15,0,0.08816684
2027-01-16,0,0.103442326
2027-01-17,0,0.08816684
2027-01-18,0,0.08816684
2027-01-19,0,0.08816684
2027-01-20,0,0.08816684
2027-01-21,0,0.08816684
2027-01-22,1,0.08816684
2027-01-23,0,0.08348892
2027-01-24,0,0.08348892
2027-01-25,0,0.07676362
2027-01-26,0,0.08816684
2027-01-27,0,0.08816684
2027-01-28,1,0.08816684
2027-01-29,0,0.0987644
2027-01-30,0,0.08348892
2027-01-31,1,0.07676362
2027-02-01,0,0.08288384
2027-02-02,0,0.08288384
2027-02-03,1,0.07676362
2027-02-04,1,0.09815932
2027-02-05,0,0.08288384
2027-02-06,0,0.07676362
2027-02-07,0,0.0920391
2027-02-08,0,0.08561424
2027-02-09,0,0.08561424
2027-02-10,0,0.10088973
2027-02-11,0,0.10088973
2027-02-12,0,0.08561424
2027-02-13,0,0.08561424
2027-02-14,0,0.08561424
2027-02-15,0,0.08561424
2027-02-16,0,0.08561424
2027-02-17,0,0.08561424
2027-02-18,0,0.08561424
2027-02-19,0,0.08561424
2027-02-20,0,0.08561424
2027-02-21,0,0.08561424
2027-02-22,0,0.08561424
2027-02-23,0,0.08561424
2027-02-24,0,0.08561424
2027-02-25,0,0.08561424
2027-02-26,0,0.08561424
2027-02-27,0,0.08561424
2027-02-28,0,0.08561424
2027-03-01,0,0.08561424
2027-03-02,0,0.08561424
2027-03-03,0,0.08561424
2027-03-04,0,0.08561424
2027-03-05,0,0.082159266
2027-03-06,0,0.082159266
2027-03-07,0,0.082159266
2027-03-08,0,0.082159266
2027-03-09,0,0.082322635
2027-03-10,0,0.07894909
2027-03-11,0,0.07894909
2027-03-12,1,0.07894909
2027-03-13,0,0.07942886
2027-03-14,0,0.07942886
2027-03-15,0,0.07582218
2027-03-16,0,0.082159266
2027-03-17,0,0.082159266
2027-03-18,0,0.082159266
2027-03-19,0,0.097434744
2027-03-20,0,0.082159266
2027-03-21,0,0.082159266
2027-03-22,0,0.065938435
2027-03-23,0,0.065938435
2027-03-24,0,0.065938435
2027-03-25,1,0.064911366
2027-03-26,0,0.06218096
2027-03-27,0,0.06218096
2027-03-28,0,0.05868363
2027-03-29,0,0.064911366
2027-03-30,0,0.064911366
2027-03-31,0,0.064911366
2027-04-01,0,0.064911366
2027-04-02,0,0.064911366
2027-04-03,0,0.064911366
2027-04-04,0,0.064911366
2027-04-05,0,0.064911366
2027-04-06,0,0.064911366
2027-04-07,0,0.064911366
2027-04-08,0,0.064911366
2027-04-09,0,0.064911366
2027-04-10,0,0.064911366
2027-04-11,0,0.064911366
2027-04-12,0,0.064911366
2027-04-13,0,0.064911366
2027-04-14,0,0.064911366
2027-04-15,0,0.064911366
2027-04-16,0,0.064911366
2027-04-17,0,0.064911366
2027-04-18,0,0.064911366
2027-04-19,0,0.06517046
2027-04-20,0,0.06517046
2027-04-21,0,0.06517046
2027-04-22,0,0.06517046
2027-04-23,0,0.06517046
2027-04-24,0,0.06517046
2027-04-25,0,0.06517046
2027-04-26,0,0.06517046
2027-04-27,0,0.06533383
2027-04-28,0,0.062558465
2027-04-29,1,0.062558465
2027-04-30,0,0.062440053
2027-05-01,0,0.062440053
2027-05-02,0,0.05894272
2027-05-03,0,0.06517046
2027-05-04,1,0.06517046
2027-05-05,0,0.062440053
2027-05-06,0,0.075082354
2027-05-07,0,0.07084509
2027-05-08,0,0.07599793
2027-05-09,0,0.07781277
2027-05-10,0,0.08002296
2027-05-11,0,0.07781277
2027-05-12,0,0.07781277
2027-05-13,0,0.07781277
2027-05-14,0,0.07781277
2027-05-15,0,0.07781277
2027-05-16,0,0.07781277
2027-05-17,0,0.07781277
2027-05-18,0,0.07781277
2027-05-19,0,0.07781277
2027-05-20,0,0.07781277
2027-05-21,0,0.07781277
2027-05-22,0,0.07781277
2027-05-23,0,0.07781277
2027-05-24,0,0.07781277
2027-05-25,0,0.07781277
2027-05-26,0,0.07781277
2027-05-27,0,0.07781277
2027-05-28,0,0.07781277
2027-05-29,0,0.07781277
2027-05-30,0,0.07781277
2027-05-31,0,0.07781277
2027-06-01,0,0.07781277
2027-06-02,0,0.07781277
2027-06-03,0,0.07781277
2027-06-04,0,0.07781277
2027-06-05,0,0.07781277
2027-06-06,0,0.0803227
2027-06-07,0,0.07477425
2027-06-08,0,0.07477425
2027-06-09,0,0.07477425
2027-06-10,2,0.077162504
2027-06-11,0,0.062440053
2027-06-12,0,0.062440053
2027-06-13,0,0.05894272
2027-06-14,0,0.06517046
2027-06-15,0,0.06908322
2027-06-16,0,0.042404544
2027-06-17,0,0.09102668
2027-06-18,0,0.06744057
2027-06-19,0,0.06744057
2027-06-20,0,0.06744057
2027-06-21,0,0.06744057
