date,actual,forecast
2027-01-02,2,0.9450892595712657
2027-01-03,1,1.0852715967667226
2027-01-04,2,1.0271923401875207
2027-01-05,1,0.9435107473444894
2027-01-06,0,1.0648107182143345
2027-01-07,3,1.2591318551203043
2027-01-08,1,0.9586158675713559
2027-01-09,0,1.1429848390615378
2027-01-10,2,1.3821315148982818
2027-01-11,2,0.7798218961314137
2027-01-12,0,1.103404850968499
2027-01-13,1,1.0092752338436919
2027-01-14,0,0.8244843951343667
2027-01-15,2,1.1747490444213684
2027-01-16,3,0.7963732169864706
2027-01-17,2,0.9841022844523698
2027-01-18,0,0.9444297503501116
2027-01-19,2,1.188346839836284
2027-01-20,1,1.0783067585874013
2027-01-21,0,1.1619443234948208
2027-01-22,1,1.2929218798012243
2027-01-23,3,0.9155587635331514
2027-01-24,0,1.0566611318968662
2027-01-25,1,1.1531427705145285
2027-01-26,1,1.21357951802582
2027-01-27,1,1.1985224844368931
2027-01-28,1,1.3042731295943384
2027-01-29,0,1.1102503022022998
2027-01-30,3,1.2614733601406019
2027-01-31,1,1.2423986390296882
2027-02-01,1,1.2306156115692246
2027-02-02,1,1.48049274010061
2027-02-03,1,1.2317690540551303
2027-02-04,2,1.3010203810431618
2027-02-05,0,1.1709879107096246
2027-02-06,1,1.2646652423818852
2027-02-07,2,1.3579687246890946
2027-02-08,2,1.337108713422206
2027-02-09,1,1.3213687849014586
2027-02-10,2,1.2666043005403558
2027-02-11,2,1.195668782731554
2027-02-12,3,1.2843997553425601
2027-02-13,1,1.261051622955359
2027-02-14,2,1.1929155551313584
2027-02-15,0,1.1317343650346918
2027-02-16,1,1.2885036094949587
2027-02-17,2,1.090012812377796
2027-02-18,1,1.2501585960751658
2027-02-19,0,1.1719639068286145
2027-02-20,2,1.2965545762271427
2027-02-21,2,1.2235040235105492
2027-02-22,0,1.121017753443347
2027-02-23,0,1.1370934599491618
2027-02-24,2,1.0019554061449412
2027-02-25,0,1.1522692768082832
2027-02-26,1,1.1001836478142457
2027-02-27,1,1.0867927076096662
2027-02-28,1,1.0824742099623783
2027-03-01,0,0.8920670374100964
2027-03-02,2,0.9047679554921727
2027-03-03,1,1.079673347013801
2027-03-04,0,0.9964243880364146
2027-03-05,2,0.7367725990077154
2027-03-06,0,0.7190911764994905
2027-03-07,1,0.7015130002645455
2027-03-08,1,0.8766885384305635
2027-03-09,0,0.7919569278077419
2027-03-10,2,0.7167427149984007
2027-03-11,0,0.6185333834617497
2027-03-12,0,0.8957189601328457
2027-03-13,0,0.7672724822282357
2027-03-14,1,0.9776281165809829
2027-03-15,0,0.8634568664757898
2027-03-16,1,0.6870363510520829
2027-03-17,1,0.7446206115376384
2027-03-18,0,0.712179930620038
2027-03-19,2,0.6508392114458391
2027-03-20,2,0.5299536047162171
2027-03-21,0,0.5228447236010028
2027-03-22,1,0.6270730729364179
2027-03-23,0,0.5719729269612044
2027-03-24,1,0.6012246492937063
2027-03-25,1,0.5768330281970532
2027-03-26,0,0.6944562183703844
2027-03-27,0,0.7127306056143802
2027-03-28,0,0.578327716236056
2027-03-29,1,0.6892794207227243
2027-03-30,2,0.583397994328984
2027-03-31,0,0.43821247311666955
2027-04-01,0,0.5958915112820696
2027-04-02,1,0.5309090303255186
2027-04-03,0,0.5877161667627042
2027-04-04,1,0.49428107398826127
2027-04-05,0,0.5581784578372715
2027-04-06,0,0.5990557330523867
2027-04-07,0,0.6020168760253937
2027-04-08,0,0.51289157146977
2027-04-09,0,0.5888937600234339
2027-04-10,2,0.6794237333390387
2027-04-11,1,0.46186171596735964
2027-04-12,0,0.46403568524632427
2027-04-13,0,0.434696209550445
2027-04-14,0,0.4985817879180391
2027-04-15,0,0.4949882373622242
2027-04-16,1,0.6040283060080861
2027-04-17,1,0.5518626350708247
2027-04-18,2,0.45760006736950865
2027-04-19,0,0.42578579742882694
2027-04-20,0,0.4496488076863408
2027-04-21,1,0.439477676460945
2027-04-22,0,0.4529791666210638
2027-04-23,0,0.37103927520923846
2027-04-24,0,0.5412816321942094
2027-04-25,0,0.5373037337799096
2027-04-26,2,0.5571351896503853
2027-04-27,0,0.45022565979196477
2027-04-28,1,0.4149612397513835
2027-04-29,1,0.44588439185192164
2027-04-30,1,0.440276913111944
2027-05-01,0,0.4515498803693873
2027-05-02,0,0.47642699194451965
2027-05-03,1,0.44283671232095895
2027-05-04,0,0.4892918206983938
2027-05-05,2,0.43532334224453223
2027-05-06,2,0.48056416588284706
2027-05-07,0,0.4838301331131807
2027-05-08,0,0.39316931262920235
2027-05-09,0,0.44336549110965934
2027-05-10,1,0.3975529342405112
2027-05-11,0,0.5728922127631911
2027-05-12,0,0.5595656691255301
2027-05-13,0,0.47444771025166615
2027-05-14,1,0.45926619406801006
2027-05-15,1,0.4089308682409089
2027-05-16,0,0.40129571447313267
2027-05-17,0,0.4080133744170097
2027-05-18,1,0.40785772068118364
2027-05-19,0,0.4724734425656269
2027-05-20,0,0.47817028399785905
2027-05-21,2,0.46640310466931373
2027-05-22,1,0.40832711565458335
2027-05-23,1,0.47364710993922116
2027-05-24,1,0.4029760663802125
2027-05-25,0,0.44074706878130054
2027-05-26,0,0.44304880016332165
2027-05-27,2,0.4673331814009949
2027-05-28,0,0.46532494099582994
2027-05-29,0,0.467506000874262
2027-05-30,0,0.40918065762114975
2027-05-31,0,0.49202665990269756
2027-06-01,0,0.6860202285387721
2027-06-02,1,0.8579891048991438
2027-06-03,2,0.5872510622004017
2027-06-04,1,0.484672899540772
2027-06-05,0,0.4977416616294507
2027-06-06,1,0.39250153473363425
2027-06-07,0,0.45102866415151655
2027-06-08,0,0.5579800157889608
2027-06-09,1,0.5889923298276957
2027-06-10,2,0.5661646987225858
2027-06-11,1,0.4803902850235111
2027-06-12,1,0.6143820402183293
2027-06-13,0,0.5771212580956914
2027-06-14,1,0.5248022654174845
2027-06-15,0,0.5991133019364959
2027-06-16,1,0.5909684711235972
2027-06-17,0,0.6420144484381319
2027-06-18,2,0.6005483735979972
2027-06-19,0,0.5314682620175865
2027-06-20,1,0.730941507407306
2027-06-21,0,0.7966505547144807
2027-06-22,1,0.507430401584625
2027-06-23,0,0.8879200438116808
2027-06-24,1,0.6855918437763786
2027-06-25,2,0.8350131992309793
2027-06-26,0,0.5084213436367203
2027-06-27,0,0.7596821458489201
2027-06-28,0,0.6414483281514682
2027-06-29,1,0.6656666808711755
2027-06-30,0,0.8455132369681915
2027-07-01,0,0.8176629766017247
2027-07-02,1,0.8984316067730888
2027-07-03,1,0.762803114986165
2027-07-04,0,0.7799226874705957
