dealer_id,part_type,MAE,RMSE,R2,IAE,SUM_DEMAND
D00,type0,0.12024110438388047,0.26082369380028675,-0.04094817927167327,0.844956031350598,21
D00,type1,0.14867125903622802,0.2911864300877214,-0.49312526624932196,0.8318895691145393,22
D00,type2,0.6581142674848038,0.7889096528439301,0.08561769457268043,0.7498929346048007,292
D00,type3,0.6591144558348077,0.7948778717484668,-0.016354139757706943,0.7115177805281581,260
D00,type4,0.107575517621149,0.22099519452307206,-0.027788391804236978,0.8775113963288546,16
D01,type0,0.12978193849478825,0.29579696740477485,-0.0101820845061813,0.8314914553464743,30
D01,type1,0.11270826630342691,0.2766203182249207,0.010305058076273244,0.8288682830228489,26
D01,type2,0.21670894697806334,0.357206739809139,-6.870598880936892,0.9999994064966186,6
D01,type3,0.504782596581164,0.5972453966887589,0.03364351413953015,0.8326283123041021,151
D01,type4,0.438228708613259,0.5405109834810539,-0.07764442438589536,0.8985908171814518,96
D01,type5,0.09677179502464792,0.22722965424199965,0.005638400311582914,0.8295373469751012,20
