date,actual,forecast
2027-01-02,2,0.045626847512341896
2027-01-03,0,0.07497443179562188
2027-01-04,1,0.046752576103276954
2027-01-05,0,0.26011529427099445
2027-01-06,1,0.11454567417115247
2027-01-07,0,0.0561639587791255
2027-01-08,1,0.2188853372833746
2027-01-09,0,0.31865180285087824
2027-01-10,0,0.15629670742510826
2027-01-11,0,0.09200804688641137
2027-01-12,0,0.1350246484893027
2027-01-13,0,0.10611978322869599
2027-01-14,0,0.07302077050840287
2027-01-15,0,0.07684784594593412
2027-01-16,0,0.0655189249854464
2027-01-17,0,0.059123743778200996
2027-01-18,0,0.06003936036126629
2027-01-19,0,0.05868439464618611
2027-01-20,0,0.06265118663299836
2027-01-21,0,0.06311720790117077
2027-01-22,0,0.06573096290902075
2027-01-23,0,0.07494602933810902
2027-01-24,0,0.07927422467125309
2027-01-25,0,0.0815799598058379
2027-01-26,0,0.08119036777143489
2027-01-27,0,0.08203793782596716
2027-01-28,0,0.08801677950727155
2027-01-29,0,0.08055705136805819
2027-01-30,0,0.07947220680728381
2027-01-31,0,0.07415425126141467
2027-02-01,0,0.07417943672004844
2027-02-02,0,0.08132220582630949
2027-02-03,0,0.08850043502259966
2027-02-04,0,0.07368409040732037
2027-02-05,0,0.07446050617899337
2027-02-06,0,0.07339696620636293
2027-02-07,0,0.07506734075014941
2027-02-08,0,0.08521449845130133
2027-02-09,0,0.06351225521621927
2027-02-10,2,0.09168588701054545
2027-02-11,1,0.06776479369304682
2027-02-12,0,0.10905547825307084
2027-02-13,0,0.21221252897661202
2027-02-14,0,0.10722230896052244
2027-02-15,0,0.11413929927126529
2027-02-16,0,0.22541665530443633
2027-02-17,0,0.23624540346567646
2027-02-18,0,0.08870185586317487
2027-02-19,1,0.06673826477413483
2027-02-20,0,0.06318668305230866
2027-02-21,0,0.11787761395826107
2027-02-22,0,0.0845279576366399
2027-02-23,0,0.09450031787759437
2027-02-24,0,0.08029728857389135
2027-02-25,0,0.07901141046799709
2027-02-26,0,0.09408132072582163
2027-02-27,0,0.06254814276201348
2027-02-28,0,0.0582284635714576
2027-03-01,0,0.06059379627061161
2027-03-02,0,0.061937318296990236
2027-03-03,1,0.05752427113630847
2027-03-04,0,0.06933371073272221
2027-03-05,0,0.10149947069309426
2027-03-06,0,0.07264050268482185
2027-03-07,0,0.07117855152689208
2027-03-08,1,0.06397246981057916
2027-03-09,0,0.08285364202109634
2027-03-10,0,0.21485082622937818
2027-03-11,0,0.07190554288891061
2027-03-12,0,0.07729614159971984
2027-03-13,0,0.05851001836985922
2027-03-14,0,0.08052345566624677
2027-03-15,0,0.08353811907212937
2027-03-16,0,0.053397501339290734
2027-03-17,0,0.04792745951120026
2027-03-18,0,0.0514132448066483
2027-03-19,0,0.0568138790502145
2027-03-20,0,0.0604748007286103
2027-03-21,1,0.06846213987105872
2027-03-22,0,0.053509690432765745
2027-03-23,0,0.1402271652431843
2027-03-24,0,0.06525412579863346
2027-03-25,0,0.05004777465206566
2027-03-26,0,0.03898184654279302
2027-03-27,0,0.038621946367986035
2027-03-28,0,0.05439307477452689
2027-03-29,0,0.03093240365371324
2027-03-30,0,0.029750072950429293
2027-03-31,0,0.029689638484059686
2027-04-01,0,0.030190382161765
2027-04-02,0,0.02965000064169351
2027-04-03,0,0.02974432547571715
2027-04-04,0,0.0312415872868836
2027-04-05,0,0.03899376638826959
2027-04-06,0,0.037047143193545656
2027-04-07,0,0.03239905199057459
2027-04-08,0,0.031787987484059234
2027-04-09,0,0.034292435632360965
2027-04-10,0,0.034376844149688224
2027-04-11,0,0.03342349207949618
2027-04-12,0,0.033022611120790205
2027-04-13,0,0.031993474272532865
2027-04-14,0,0.030872931507298522
2027-04-15,0,0.031078458264016038
2027-04-16,0,0.04204691856807325
2027-04-17,0,0.03585176351294866
2027-04-18,0,0.031979615874260986
2027-04-19,0,0.03414064391084144
2027-04-20,0,0.03387716422384304
2027-04-21,0,0.036754786344329556
2027-04-22,0,0.0427756104484421
2027-04-23,0,0.041793265676822886
2027-04-24,0,0.04050934773909373
2027-04-25,0,0.038996047601381645
2027-04-26,0,0.039180554116400576
2027-04-27,0,0.04248471521891821
2027-04-28,0,0.040468931760817985
2027-04-29,0,0.04104424888592356
2027-04-30,0,0.047805059106926
2027-05-01,0,0.06419266588057679
2027-05-02,0,0.06402342059382635
2027-05-03,0,0.07786138652922402
2027-05-04,0,0.08713183554035478
2027-05-05,0,0.14446570793127092
2027-05-06,0,0.15800807249569815
2027-05-07,0,0.14264581437314858
2027-05-08,0,0.14067214567123698
2027-05-09,1,0.15813107889204592
2027-05-10,0,0.02041568492701144
2027-05-11,0,0.022132700037155166
2027-05-12,0,0.017302681696981605
2027-05-13,0,0.03236068385810798
2027-05-14,0,0.04200255281599327
2027-05-15,0,0.03312406892972141
2027-05-16,0,0.041543209693948285
2027-05-17,0,0.03353016882980578
2027-05-18,0,0.033664033442145004
2027-05-19,0,0.033340259325852696
2027-05-20,0,0.033134708034188526
2027-05-21,0,0.05078251166214854
2027-05-22,1,0.05071341501246135
2027-05-23,0,0.016899146598497786
2027-05-24,0,0.01704576093565062
2027-05-25,0,0.019239915781124148
2027-05-26,0,0.031071413046777782
2027-05-27,0,0.0415365256090445
2027-05-28,0,0.03224873169903149
2027-05-29,0,0.03988915619036947
2027-05-30,0,0.032823227302755845
2027-05-31,0,0.03301314979956123
2027-06-01,0,0.032383720475188275
2027-06-02,0,0.04873120260224074
2027-06-03,0,0.04982082130905868
2027-06-04,1,0.049468467812710505
2027-06-05,1,0.016569632358535844
2027-06-06,0,0.014666448130987426
2027-06-07,0,0.016534600032705425
2027-06-08,0,0.0200069303792128
2027-06-09,0,0.03973114516031377
2027-06-10,0,0.04335583496186565
2027-06-11,0,0.043159597095608015
2027-06-12,0,0.04522728367967951
2027-06-13,0,0.03546572333037265
2027-06-14,0,0.035345570106197544
2027-06-15,0,0.04967974692610132
2027-06-16,0,0.03834390291628877
2027-06-17,0,0.04086547431836387
2027-06-18,0,0.039243389212211655
2027-06-19,0,0.039928865305331795
2027-06-20,0,0.058634750416919484
2027-06-21,0,0.05865690699930893
2027-06-22,0,0.0636505327672991
2027-06-23,0,0.06044392274478482
