date,actual,forecast
2027-01-02,1,0.7446631272308232
2027-01-03,1,0.5224338581222041
2027-01-04,1,0.8496174650756445
2027-01-05,2,1.1765135432956266
2027-01-06,0,0.6794615139899541
2027-01-07,0,0.6348496890602345
2027-01-08,0,0.6892148818362027
2027-01-09,1,0.7957766171275453
2027-01-10,1,0.6024300738031076
2027-01-11,1,0.9192351228418879
2027-01-12,2,1.3984835843565235
2027-01-13,0,0.5951636063447776
2027-01-14,0,0.4128965396815486
2027-01-15,1,0.2199271388743612
2027-01-16,2,0.3856541939090782
2027-01-17,1,0.45921200701663173
2027-01-18,0,0.5960340154519781
2027-01-19,0,0.7949766870824538
2027-01-20,1,0.42295599460502303
2027-01-21,0,0.5589003962130217
2027-01-22,1,0.6350663352766734
2027-01-23,1,0.8769706839610757
2027-01-24,1,0.8121477932849533
2027-01-25,1,0.735036289830619
2027-01-26,0,0.6237488916512349
2027-01-27,0,0.9992604183826004
2027-01-28,2,0.639556892903146
2027-01-29,0,0.38879070719627656
2027-01-30,2,0.5728576526068546
2027-01-31,0,0.5853970185508317
2027-02-01,1,0.8481784724942364
2027-02-02,1,0.4791194611729105
2027-02-03,0,0.454343401108134
2027-02-04,0,0.6979986219828108
2027-02-05,2,0.3287525191729903
2027-02-06,0,0.5262845903497964
2027-02-07,0,0.48740836877294297
2027-02-08,2,0.8181651665064397
2027-02-09,1,0.7337271461671092
2027-02-10,1,0.5132954307968942
2027-02-11,0,0.5252602466474108
2027-02-12,1,0.8373663530194585
2027-02-13,0,0.4445069642406866
2027-02-14,1,0.2940566994656352
2027-02-15,0,0.5928150172808473
2027-02-16,2,0.6635591051919986
2027-02-17,1,0.5216499871181309
2027-02-18,0,0.5848705469353529
2027-02-19,0,0.8799074386569772
2027-02-20,1,0.6283823329767324
2027-02-21,0,0.665349012941936
2027-02-22,0,0.3952879681593924
2027-02-23,1,0.58406966014357
2027-02-24,1,0.6177336693524279
2027-02-25,0,0.502745877554457
2027-02-26,0,0.45755017551069477
2027-02-27,0,0.7183217839179826
2027-02-28,0,0.6051685922658916
2027-03-01,1,0.5636283809726137
2027-03-02,1,0.49532046309884703
2027-03-03,0,0.6078413709611709
2027-03-04,0,0.5501567195089722
2027-03-05,1,0.5554524595278443
2027-03-06,0,0.6013958145708085
2027-03-07,0,0.4858912847678353
2027-03-08,0,0.5097152859739962
2027-03-09,1,0.6011552544849103
2027-03-10,0,0.5838072795646017
2027-03-11,0,0.5110166873854519
2027-03-12,0,0.5716945787755708
2027-03-13,1,0.6132407145229618
2027-03-14,2,0.5972407408300667
2027-03-15,0,0.473500811279057
2027-03-16,0,0.5479366400170136
2027-03-17,0,0.5022555469638422
2027-03-18,0,0.5015760351242227
2027-03-19,2,0.48456651377081
2027-03-20,0,0.4391788600369854
2027-03-21,0,0.5012552459986716
2027-03-22,1,0.3284706315283159
2027-03-23,1,0.432455091273872
2027-03-24,1,0.5027548971623149
2027-03-25,1,0.45606174823581846
2027-03-26,0,0.5210422226072324
2027-03-27,0,0.49635748552973147
2027-03-28,0,0.4923311158429688
2027-03-29,0,0.3899785445479984
2027-03-30,1,0.4103763073294937
2027-03-31,1,0.2860037370562616
2027-04-01,0,0.4214064707365321
2027-04-02,0,0.2991198032830201
2027-04-03,1,0.3153515196561054
2027-04-04,0,0.31358073079333776
2027-04-05,0,0.28946693353569625
2027-04-06,1,0.3028206830802236
2027-04-07,0,0.27903302716581274
2027-04-08,0,0.31243020086205125
2027-04-09,0,0.3173870442689536
2027-04-10,1,0.3040575464968423
2027-04-11,0,0.32717009896783056
2027-04-12,0,0.30284838530215286
2027-04-13,0,0.28132149188351435
2027-04-14,0,0.3028962809498544
2027-04-15,0,0.34978100234071596
2027-04-16,0,0.5591107234024683
2027-04-17,0,0.36173318646133457
2027-04-18,1,0.5300602104469267
2027-04-19,0,0.26371517351704654
2027-04-20,0,0.26017177184058643
2027-04-21,1,0.2700890737705491
2027-04-22,0,0.2612949346445493
2027-04-23,1,0.26674965005332907
2027-04-24,0,0.2714475765038568
2027-04-25,0,0.2489341137360893
2027-04-26,0,0.2721936687350476
2027-04-27,0,0.33397794926948
2027-04-28,0,0.372612681579473
2027-04-29,0,0.349206302681513
2027-04-30,0,0.34379439560383085
2027-05-01,0,0.28933290534947637
2027-05-02,1,0.39695959870213215
2027-05-03,1,0.20165446855836205
2027-05-04,0,0.17937361442085617
2027-05-05,1,0.17454156516164585
2027-05-06,1,0.21256910211284932
2027-05-07,0,0.1684188102317992
2027-05-08,1,0.15660779319221654
2027-05-09,2,0.22285503590398445
2027-05-10,0,0.2115085236254236
2027-05-11,0,0.20426513851892347
2027-05-12,0,0.23840280383897924
2027-05-13,1,0.22950158780839702
2027-05-14,0,0.23952375718850877
2027-05-15,0,0.20289133821282393
2027-05-16,0,0.2744396941424597
2027-05-17,0,0.22336309446485103
2027-05-18,1,0.2370639119354157
2027-05-19,0,0.3308567268413864
2027-05-20,0,0.24121544645096343
2027-05-21,0,0.2663739208361361
2027-05-22,0,0.269823337410503
2027-05-23,0,0.23329380105371683
2027-05-24,0,0.23569587685435828
2027-05-25,0,0.21922105033618297
2027-05-26,1,0.2414976088745101
2027-05-27,0,0.27655398015296995
2027-05-28,1,0.26301349401949614
2027-05-29,0,0.2802014448302517
2027-05-30,1,0.2098647389592448
2027-05-31,1,0.2630509121068557
2027-06-01,0,0.224862088701798
2027-06-02,0,0.2098625281904223
2027-06-03,0,0.25758498694745213
2027-06-04,0,0.2316910236469816
2027-06-05,1,0.21902049934176548
2027-06-06,0,0.28640124175176584
2027-06-07,0,0.24218782505772735
2027-06-08,0,0.2885922085421909
2027-06-09,0,0.2789754813816659
2027-06-10,1,0.2555413868223427
2027-06-11,0,0.3636825725475712
2027-06-12,0,0.3164820677508526
2027-06-13,0,0.29281646403308625
2027-06-14,0,0.29720572255093075
2027-06-15,0,0.2512538824001609
2027-06-16,1,0.2975810910795791
2027-06-17,0,0.40804703145293025
2027-06-18,0,0.39475026657358714
