,MAE,RMSE,R2,IAE,TotalCost,ISL,TotalStockouts,ImmediateFulfilled,BackorderFulfilled
MAE,1.0,0.9839323068891741,-0.03016139713524236,-0.3068398158616588,0.4635708836585047,-0.25563927110836465,0.2550194318905202,0.9974606614656188,0.2550987666212754
RMSE,0.9839323068891741,1.0,0.02260524154532407,-0.4556222993008917,0.5651373681958256,-0.3638857625265397,0.3506846048532168,0.9748187116769973,0.3512119590968573
R2,-0.03016139713524236,0.02260524154532407,1.0,-0.22055918843998,-0.22265920591762928,0.22885574963575014,-0.23230455599067978,-0.004464495396112931,-0.23224088760913816
IAE,-0.3068398158616588,-0.4556222993008917,-0.22055918843998,1.0,-0.8130805237700741,0.8006992168600846,-0.7676933977922459,-0.27415671048366785,-0.7689869425085052
TotalCost,0.4635708836585047,0.5651373681958256,-0.22265920591762928,-0.8130805237700741,1.0,-0.9720108607582223,0.9566893420736753,0.4141927933084257,0.9574271488625
ISL,-0.25563927110836465,-0.3638857625265397,0.22885574963575014,0.8006992168600846,-0.9720108607582223,1.0,-0.9930098222821746,-0.2025434799423616,-0.9934737522162648
TotalStockouts,0.2550194318905202,0.3506846048532168,-0.23230455599067978,-0.7676933977922459,0.9566893420736753,-0.9930098222821746,1.0,0.20252890808873283,0.9999920088358287
ImmediateFulfilled,0.9974606614656188,0.9748187116769973,-0.004464495396112931,-0.27415671048366785,0.4141927933084257,-0.2025434799423616,0.20252890808873283,1.0,0.20257573396945788
BackorderFulfilled,0.2550987666212754,0.3512119590968573,-0.23224088760913816,-0.7689869425085052,0.9574271488625,-0.9934737522162648,0.9999920088358287,0.20257573396945788,1.0
