dealer_id,part_type,MAE,RMSE,R2,IAE,SUM_DEMAND
D00,type0,0.14698604921868338,0.2595636472694964,-0.030914774478731255,0.8892043163259961,21
D00,type1,0.14493056585340935,0.2403757880876174,-0.017502354001258658,0.9116260821114731,22
D00,type2,0.7056744006374532,0.8472833771028471,-0.05470412702061611,0.8787591137288752,292
D00,type3,0.6813431024119271,0.8399588522308914,-0.13490698581298033,0.9024861074398962,260
D00,type4,0.13437342065013205,0.2246840154561943,-0.06238615304544304,0.9121404820430357,16
D01,type0,0.15935956692256537,0.29477235648622035,-0.003195867174941247,0.8502262394151632,30
D01,type1,0.15576334992051577,0.27931612243378945,-0.009079088572023775,0.8807636635741056,26
D01,type2,0.11680803800526085,0.15464984954362654,-0.4752563542404258,0.946279003490058,6
D01,type3,0.45383959101764937,0.6648315871024281,-0.19744350892619345,0.7909566763748865,151
D01,type4,0.31797019150744593,0.5473233200023842,-0.10497981488518326,0.8288252037264608,96
D01,type5,0.13890501501279667,0.23110902204321013,-0.02860381013431823,0.905901524754767,20
