time,date,dealer_id,part_type,failure
1,2025-01-01,D00,type0,0
1,2025-01-01,D00,type1,0
1,2025-01-01,D00,type10,0
1,2025-01-01,D00,type11,0
1,2025-01-01,D00,type12,0
1,2025-01-01,D00,type13,0
1,2025-01-01,D00,type14,0
1,2025-01-01,D00,type15,0
1,2025-01-01,D00,type16,0
1,2025-01-01,D00,type17,0
1,2025-01-01,D00,type18,0
1,2025-01-01,D00,type19,0
1,2025-01-01,D00,type2,1
1,2025-01-01,D00,type20,0
1,2025-01-01,D00,type21,0
1,2025-01-01,D00,type22,0
1,2025-01-01,D00,type23,0
1,2025-01-01,D00,type24,0
1,2025-01-01,D00,type3,0
1,2025-01-01,D00,type4,2
1,2025-01-01,D00,type5,1
1,2025-01-01,D00,type6,0
1,2025-01-01,D00,type7,0
1,2025-01-01,D00,type8,0
1,2025-01-01,D00,type9,0
1,2025-01-01,D01,type0,0
1,2025-01-01,D01,type1,0
1,2025-01-01,D01,type10,0
1,2025-01-01,D01,type11,0
1,2025-01-01,D01,type12,1
1,2025-01-01,D01,type13,0
1,2025-01-01,D01,type14,0
1,2025-01-01,D01,type15,1
1,2025-01-01,D01,type16,0
1,2025-01-01,D01,type17,0
1,2025-01-01,D01,type18,0
1,2025-01-01,D01,type19,0
1,2025-01-01,D01,type2,0
1,2025-01-01,D01,type20,0
1,2025-01-01,D01,type21,0
1,2025-01-01,D01,type22,0
1,2025-01-01,D01,type23,0
1,2025-01-01,D01,type24,0
1,2025-01-01,D01,type25,0
1,2025-01-01,D01,type26,1
1,2025-01-01,D01,type27,0
1,2025-01-01,D01,type28,0
1,2025-01-01,D01,type3,1
1,2025-01-01,D01,type4,1
1,2025-01-01,D01,type5,0
1,2025-01-01,D01,type6,1
1,2025-01-01,D01,type7,0
1,2025-01-01,D01,type8,0
1,2025-01-01,D01,type9,0
2,2025-01-02,D00,type0,0
2,2025-01-02,D00,type1,0
2,2025-01-02,D00,type10,0
2,2025-01-02,D00,type11,5
2,2025-01-02,D00,type12,0
2,2025-01-02,D00,type13,1
2,2025-01-02,D00,type14,0
2,2025-01-02,D00,type15,0
2,2025-01-02,D00,type16,0
2,2025-01-02,D00,type17,0
2,2025-01-02,D00,type18,1
2,2025-01-02,D00,type19,0
2,2025-01-02,D00,type2,3
2,2025-01-02,D00,type20,0
2,2025-01-02,D00,type21,0
2,2025-01-02,D00,type22,1
2,2025-01-02,D00,type23,1
2,2025-01-02,D00,type24,1
2,2025-01-02,D00,type3,1
