dealer_id,part_type,MAE,RMSE,R2,IAE,SUM_DEMAND
D00,type0,0.11183656752109528,0.25574032001037844,-0.0007680654525756836,0.838347511489233,21
D00,type1,0.11568134278059006,0.23651844432042834,0.01489168405532837,0.8757045770868537,22
D00,type2,0.6630762219429016,0.7942586470539382,0.07317614555358887,0.7458975115619023,292
D00,type3,0.6276902556419373,0.7449941071014833,0.1072087287902832,0.7552328527284105,260
D00,type4,0.10086014866828918,0.22036810572264498,-0.02196371555328369,0.8589098516601762,16
D01,type0,0.1375855952501297,0.29625530566120156,-0.013315200805664062,0.8320797730379755,30
D01,type1,0.12679678201675415,0.27793591372391324,0.0008687376976013184,0.8403934058994305,26
D01,type2,0.06359141319990158,0.13827240182833686,-0.17934167385101318,0.8387365028030187,6
D01,type3,0.5138450860977173,0.5974579775170451,0.03295540809631348,0.7553901222162078,151
D01,type4,0.4072946012020111,0.5222914661528308,-0.006218433380126953,0.9050380745725426,96
D01,type5,0.10492601245641708,0.22946669254318303,-0.01403653621673584,0.8464710723780262,20
